gacha.first_time_android,"These stickers could appear randomly in the game. We want to find a way for you to use these in messaging apps, but couldn't.",これらのステッカーは、ゲーム内でランダムに表示されます。これらをメッセージングアプリで使用する方法を見つけたいのですが、できませんでした。,"Эти наклейки могут появляться в игре случайным образом. Мы хотели найти способ использовать их в приложениях для обмена сообщениями, но не смогли.",这些贴纸可能会随机出现在游戏中。我们希望找到一种方法，供您在消息应用程序中使用它们，但不行。,"Ces autocollants peuvent apparaître au hasard dans le jeu. Nous voulons trouver un moyen pour vous de les utiliser dans les applications de messagerie, mais nous n'avons pas pu.","Diese Sticker können zufällig im Spiel erscheinen. Wir möchten, dass du sie in Messaging-Apps verwenden kannst, wie wissen aber nicht wie.",이 스티커는 게임에서 무작위로 나타날 수 있습니다. 메시징 앱에서 이것을 사용할 수 있는 방법을 찾고 싶지만 찾을 수 없었습니다.,,
gacha.not_enough_fishes,Play another match to get silver fishes and unlock many cutest stickers,別の試合で銀の魚を入手し、\n多くのかわいいステッカーをアンロックします,"Сыграйте еще разок, чтобы получить еще больше серебряных рыбок и открыть новые невероятно милые стикеры",进行另一个匹配，获取银鱼，解锁众多最可爱的贴纸,Jouez une autre partie pour obtenir des poissons d'argent et déverrouiller de nombreux autocollants très mignons,"Spiele ein weiteres Match, um Silberfische zu erhalten und viele niedliche Sticker freizuschalten.",한 번 더 플레이하시고 은색 물고기를 획득해 정말 귀여운 스티커를 여러 개 해금하세요,,
sticker.collections.Haru_stickers,Haru stickers,Haruステッカー,Стикеры с Хару,哈鲁贴纸,Autocollants Haru,Haru-Sticker,하루 스티커,,
giftbox.no_ads_available_right_now,No ads available right now,現在利用可能な広告はありません,Сейчас у нас нет рекламы для показа,目前没有可用的广告,Aucune annonce disponible pour le moment,Derzeit ist keine Werbung verfügbar.,현재 가능한 광고가 없습니다,,
popup_booster_description_1,Use thunderball power to clear nearby cats,サンダーボールパワーで\n近くにいる猫をクリア,"Используйте силу громового шара,\n чтобы очистить ближайших котов",使用雷球力量清除附近的猫,Utilisez le pouvoir de l'Opération tonnerre\n pour éliminer les chats à proximité,Lass mit Donnerkraft die \nKatzen in der Nähe verschwinden.,천둥의 힘을 사용하여\n 근처의 고양이를 제거하십시오.,,
popup_booster_description_2,Use scratching power to randomly clear\n the cat blocks of the same color,同じ色の猫のブロックを\nランダムに消去,Убирает случайные кошачьи блоки\nтакого же цвета,随机清除\n相同颜色的猫积木,Effacer de manière aléatoire les blocs de chats \nde même couleur,Entferne nach dem Zufallsprinzip die\nKatzenblöcke derselben Farbe.,무작위로 같은 색의\n고양이 블록을 없앱니다,,
popup_booster_description_3,Use purring power to break \nlarger cats into tiny kitty cats,大きな猫を\n小さな子猫に分割,Разбивает длинных котов\nна более мелкие блоки,将较大的猫\n打破成为小猫,Briser les gros chats en\n de minuscules chats,Teile größere Katzen in\n kleine Kätzchen auf.,큰 고양이를 작은\n새끼고양이로 나눕니다,,
booster_description_1,Clearing a block and the nearby cats,サンダーボールパワーで\n近くにいる猫をクリア,"Используйте силу громового шара,\n чтобы очистить ближайших котов",使用雷球力量清除附近的猫,Utilisez le pouvoir de l'Opération tonnerre\n pour éliminer les chats à proximité,Lass mit Donnerkraft die \nKatzen in der Nähe verschwinden.,천둥의 힘을 사용하여\n 근처의 고양이를 제거하십시오.,,
booster_description_2,Randomly clear all cat blocks of the\nsame color.,同じ色の猫のブロックを\nランダムに消去,Убирает случайные кошачьи блоки\nтакого же цвета,随机清除\n相同颜色的猫积木,Effacer de manière aléatoire les blocs de chats \nde même couleur,Entferne nach dem Zufallsprinzip die\nKatzenblöcke derselben Farbe.,무작위로 같은 색의\n고양이 블록을 없앱니다,,
booster_description_3,Split the big cat block into smaller cat blocks,大きな猫を\n小さな子猫に分割,Разбивает длинных котов\nна более мелкие блоки,将较大的猫\n打破成为小猫,Briser les gros chats en\n de minuscules chats,Teile größere Katzen in\n kleine Kätzchen auf.,큰 고양이를 작은\n새끼고양이로 나눕니다,,
booster_title_1,HAMMER,サンダーボール,Молния,霹雳球,Thunderball,Donnerkugel,썬더볼,,
booster_title_2,MAGNET,スクラッチ,Царапка,搔抓,Grattage,Kratzen,긁기,,
booster_title_3,MAGIC WAND,喉をゴロゴロ鳴らす,Мурлыка,呼噜,Ronronnement,Schnurren,골골거리기,,
"gameover.game_over_for_now,_keeping_sliding","Game over for now, keep sliding",今はゲームオーバー、滑り続ける,"Игра окончена, продолжайте двигать блоки",游戏结束，继续滑动,"Fin du jeu pour le moment, continuez à glisser","Das Spiel ist erst einmal vorbei, schiebe weiter.",곧 게임이 끝납니다. 계속 슬라이드하세요,,
newrank.title,NEW RANK,新しいランク,НОВОЕ ЗВАНИЕ,新等级,NOUVEAU RANG,NEUER RANG,새 등급,,
newrank.content1,Reward /n Lighting,報酬/ n照明,Награда\nМолния,奖励/n灯光,Récompense /n éclairage,Belohnung /n Donnerblitz,보상 /n 번개,,
newrank.content2,Reward /n Scratching,報酬/ nスクラッチ,Награда\nЦарапка,奖励/n搔抓,Récompense /n Grattage,Belohnung /n Kratzen,보상 /n 긁기,,
newrank.content3,Reward /n Purring,報酬/ n喉をゴロゴロ鳴らす,Награда\nМурлыка,奖励/n呼噜,Récompense /n ronronnement,Belohnung /n Schnurren,보상 /n 골골거리기,,
rank.title,Rank,ランク,Уровень,排名,Rang,Rang,랭크,,
thank.play.game,Thank you for playing Haru Slide,スライド ブロック パズルをプレイしていただき、ありがとうございます,Благодарим вас за игру в Haru Slide,感谢您玩哈鲁滑块拼图,Merci d'avoir joué à Haru Slide Puzzle,"Danke, dass du das Haru Schiebepuzzle spielst.",Haru Slide를 플레이해주셔서 감사합니다,,
gacha.not.enough.silver,Not Enough Silver Fishes,銀の魚が足らない,Не хватает серебряных рыбок,没有足够的银鱼,Pas assez de poissons d'argent,Nicht genug Silberfische,은색 물고기가 부족합니다,,
menu.more_app.Haru_cat_content.title,HARU CAT'S \nCUTEST GAME COLLECTION,"HARU CAT'S \n最高にかわいいゲーム
コレクション",КОЛЛЕКЦИЯ МИЛЫХ ИГР\nОТ КОТА ХАРУ,哈鲁猫\n最可爱的游戏收藏,LA PLUS MIGNONNE COLLECTION DE JEUX DE CHATS HARU,HARU CATS \nNIEDLICHSTE SPIELESAMMLUNG,하루의 가장 귀여운\n게임 컬렉션,,
gameover.wellcomegift,WELCOME GIFT!,歓迎ギフト！,ПРИВЕТСТВЕННЫЙ ПОДАРОК!,欢迎礼物！,CADEAU DE BIENVENUE !,BEGRÜSSUNGSGESCHENK!,환영 선물을 받으세요!,,
reward.reward,Reward,報酬,Награда,奖励,Récompense,Belohnung,보상,,
version,Version,バージョン,Версия,版本,Version,Version,버전,,
shop.hot,HOT!,ホット！,ЖАРКО!,火热！,CHAUD !,BELIEBT!,HOT!,,
menu.moreapp.weather,WEATHER HARU\nLIVE FORECAST,お天気HARUの\nライブ予報,ОНЛАЙН-ПРОГНОЗ\nОТ КОТА ХАРУ,哈鲁天气\n实时预测,PRÉVISION MÉTÉOROLOGIQUE HARU \nEN DIRECT,WETTER HARU\nLIVE-PROGNOSE,하루의 라이브\n일기예보,,
shop.gold,Gold,金,Золото,黄金,Or,Gold,골드,,
shop.silver,Silver,銀,Серебро,白银,Argent,Silber,실버,,
setting.no.purchase.restore,No purchase found to restore,復元する購入は見つかりませんでした,Не найдено покупок для восстановления,未找到可以恢复的购买,Aucun achat à restaurer,Kein Kauf zur Wiederherstellung gefunden.,복원할 구매가 없습니다,,
setting.restore.success,Restored items successfully,アイテムを正常に復元しました,Покупки успешно восстановлены,已成功恢复的项目,Articles restaurés avec succès,Elemente erfolgreich wiederhergestellt.,항목 복원에 성공했습니다,,
omc.free.continue,Free Continue,無料続行,Продолжить бесплатно,免费继续,Continue gratuit,Kostenlos fortsetzen,무료 계속,,
setting.restore,Restore Purchases,購入を復元,Восстановить покупки,恢复购买,Restaurer les achats,Käufe wiederherstellen,구매 복원,,
setting.no.purchase.found,No purchases found to restore,復元する購入は見つかりませんでした,Не найдено покупок для восстановления,未找到可以恢复的购买,Aucun achat à restaurer,Keine Einkäufe zur Wiederherstellung gefunden.,복원할 구매가 없습니다.,,
Lucky_Draw,LUCKY DRAW,ラッキードロー,Лотерея,幸运抽奖,Tirage au sort,Tombola,행운의 뽑기,,
luckydraw.free.gift,Lucky Draw,ラッキードロー,Лотерея,幸运抽奖,Tirage au sort,Tombola,행운의 뽑기,,
luckydraw.free.wouldyoulike,Would you like to watch a video ad to receive a free gift?,無料のギフトを受け取るためにビデオ広告を見ますか？,"Вы хотите посмотреть рекламный ролик, чтобы получить подарок?",您想观看视频广告以获得免费礼物吗？,Souhaitez-vous regarder une annonce vidéo pour recevoir un cadeau gratuit ?,"Möchtest du eine Werbeanzeige ansehen, um ein kostenloses Geschenk zu erhalten?",동영상을 시청하고 무료 선물을 받으시겠습니까?,,
luckydraw.free.WatchVideo,Watch Video,ビデオを見る,Смотреть ролик,观看视频,Regarder la vidéo,Video ansehen,동영상 보기,,
luckydraw.free.spin,FREE SPIN,フリースピン,ВРАЩАЙТЕ БЕСПЛАТНО,免费转盘,TOUR GRATUIT,KOSTENLOSER SPIN,무료 돌림판,,
luckydraw.free.nextreward,Next Reward in {0},{0}での次の報酬,Следующая награда через {0},下一奖励：{0},Récompense suivante dans {0},Nächste Belohnung in {0},다음 보상까지: {0},,
luckydraw.no.thank,"NO, THANKS",結構です,"НЕТ, СПАСИБО",不，谢谢,"NON, MERCI","NEIN, DANKE.","아뇨, 괜찮습니다",,
luckydraw.claimx2,Claim x2,x2を要求,Получить в 2 раза больше,领取x2,Réclamation x2,x2 erhalten,받기 x2,,
luckydraw.lucky,LUCKY,ラッキー,УДАЧА,幸运,CHANCEUX,TOMBOLA,행운,,
luckydraw.free,FREE,無料,БЕСПЛАТНО,免费,GRATUIT,KOSTENLOS,무료,,
luckydraw.spinnow,SPIN NOW,今すぐスピン,ВРАЩАЙТЕ,现在转动,TOURNER MAINTENANT,JETZT SPINNEN,지금 돌리기,,
luckydraw.youhavefreegift,You have a free gift.,無料のプレゼントがあります。,Для вас есть бесплатный подарок.,你有一个免费礼物。,Vous avez un cadeau gratuit.,Du hast ein kostenloses Geschenk.,무료 선물을 받았습니다.,,
luckydraw.pleasetryagain,Please try again later!,後でもう一度やり直してください！,"Пожалуйста, попробуйте позднее!",请稍后再试！,Veuillez réessayer plus tard !,Bitte versuche es später noch einmal!,나중에 다시 시도하세요!,,
luckydraw.adsnotavailable,Ads Not Available,利用できない広告,Нет доступной рекламы,广告不可用,Annonces non disponibles,Werbeanzeigen nicht verfügbar,광고를 볼 수 없습니다,,
try.character.before.buy,TRY BEFORE YOU BUY?,購入する前に試しますか？,ХОТИТЕ ПОПРОБОВАТЬ ПЕРЕД ПОКУПКОЙ?,先试再买？,ESSAYEZ AVANT D'ACHETER ?,"TESTEN, BEVOR DU KAUFST?",구매 전에 해보시겠습니까?,,
try.character.before.buy1,TRY HARU ROBINHOOD?,ハルロビンフッドを試してみませんか？,ПОПРОБОВАТЬ ХАРУ РОБИН ГУДА?,想试试哈鲁·罗宾汉吗？,ESSAYER HARU ROBIN DES BOIS ?,HARU ROBINHOOD AUSPROBIEREN?,HARU ROBINHOOD(하루 로빈훗)를 사용해 보시겠습니까?,,
try.character.before.buy2,TRY HARU WARRIOR?,ハルウォリアーを試してみませんか？,ПОПРОБОВАТЬ ХАРУ ВОИНА?,想试试哈鲁战士吗？,ESSAYER HARU GUERRIER ?,HARU-KRIEGER AUSPROBIEREN?,HARU WARRIOR(하루 워리어)를 사용해 보시겠습니까?,,
try.character.before.buy3,TRY HARU KING?,ハルキングを試してみませんか？,ПОПРОБОВАТЬ ХАРУ КОРОЛЯ?,想试试哈鲁王吗？,ESSAYER HARU ROI ?,HARU KÃ–NIG AUSPROBIEREN?,HARU KING(하루 킹)을 사용해 보시겠습니까?,,
try.character.before.buy4,TRY HARU MAGICIAN?,ハルマジシャンを試してみませんか？,ПОПРОБОВАТЬ ХАРУ ВОЛШЕБНИКА?,想试试哈鲁魔术师吗？,ESSAYER HARU MAGICIEN ?,HARU MAGIER AUSPROBIEREN?,HARU MAGICIAN(하루 매지션)을 사용해 보시겠습니까?,,
try.character.before.buy5,TRY HARU WIZARD?,ハルウィザードを試してみませんか？,ПОПРОБОВАТЬ ХАРУ КОЛДУНА?,想试试哈鲁向导吗？,ESSAYER HARU SORCIER ?,HARU ZAUBERER AUSPROBIEREN?,HARU WIZARD(하루 위저드)를 사용해 보시겠습니까?,,
try.character.unlock.one.match,Unlock this character for one match,1試合でこのキャラクタ\nーをアンロックします,Разблокируйте этого героя для одного раунда,进行一个匹配解锁此角色,Déverrouiller ce personnage pour un match,Schalte diesen Charakter für ein Match frei.,한 번 플레이하는 동안 이 캐릭터를 해금합니다,,
try.character.yeah,YEAH!,いいぞー！,"О, ДА!",是！,OUAIS !,JA!,와!,,
popup.noads,No ads available,利用可能な広告はありません,Нет доступной рекламы,没有可用的广告,Aucune annonce disponible,Keine Werbeanzeigen vorhanden.,가능한 광고가 없습니다,,
popup.bonus,HARU ANNOUNCEMENT,HARU からの発表,ОБЪЯВЛЕНИЕ ОТ ХАРУ,哈鲁公告,ANNONCE HARU,HARU-MITTEILUNG,하루 안내 사항,,
popup.bonus.content,"An unexpected crash happened in the last version when spinning lucky draw. Haru feel sad and sorry for the inconvenience, here is a small gift to make it up. Enjoy!",前のバージョンでは、ラッキードローを回しているときに予期しないクラッシュが発生しました。HARUは悲く、迷惑をかけて申し訳けなく思っています。これは埋め合わせのささやかな贈り物です。お楽しみください！,"Во время участия в счастливом розыгрыше произошла непредвиденная ошибка. Хару приносит свои извинения за неудобства. Ему очень стыдно, поэтому он приготовил для вас небольшой подарок. Наслаждайтесь!",转动幸运抽奖时，最新版本发生意外崩溃。哈鲁为由此带来的不便感到难过和遗憾，这里有一个小礼物作为弥补。玩得开心！,"Un plantage inattendu s’est produit dans la dernière version lors d’un tirage au sort. Haru se sent triste et désolé pour les inconvénients occasionnés, voici un petit cadeau pour arranger les choses. Prenez-y plaisir !","In der letzten Version ereignete sich ein unerwarteter Absturz, als die Tombola gedreht wurde. Haru ist traurig und entschuldigt sich für die Unannehmlichkeiten. Hier ist ein kleines Geschenk als Wiedergutmachung. Viel Spaß!",최신 버전에서 행운의 뽑기를 돌릴 때 예기치 않은 충돌이 발생했습니다. 하루가 슬퍼하고 불편을 끼쳐드려 죄송해합니다. 여기 작은 선물을 받아주세요. 즐겁게 플레이하세요!,,
popup.bonus.try,TRY,試す,ПОПРОБОВАТЬ,尝试,ESSAYER,TESTEN,해보기,,
popup.redeem.success,"Code entered correctly, enjoy {0} gold fishes",コードが正しく入力されました。{0}のゴールドフィッシュをお楽しみください,"Вы ввели правильный код, получите {0} золотых рыбок",代码输入正确，使用{0}金鱼,"Code saisi correctement, profitez de {0} poissons d'or","Code richtig eingegeben, viel Spaß mit {0} Goldfischen.",코드를 정확하게 입력했습니다. 금색 물고기 {0}마리를 받으세요,,
popup.redeem.success.silver,"Code entered correctly, enjoy {0} silver fishes",コードが正しく入力されました。{0}の銀をお楽しみください,"Вы ввели правильный код, получите {0} серебряных рыбок",代码输入正确，使用{0}银鱼,"Code saisi correctement, profitez de {0} poissons d'argent","Code richtig eingegeben, viel Spaß mit {0} Goldfischen.",코드를 정확하게 입력했습니다. 은색 물고기 {0}마리를 받으세요,,
popup.redeem.failed.user_redeemed,The code has already been redeemed,コードはすでに引き換えられています,Код уже погашен,该代码已被兑换,Le code a déjà été utilisé,Der Code wurde bereits eingelöst,코드가 이미 사용되었습니다.,,
popup.redeem.removeads,Remove ads activated!,アクティブな広告を削除します！,Реклама успешно отключена!,移除广告已激活！,Activation de la suppression d'annonces !,Werbung entfernen aktiviert!,활성화된 광고를 제거합니다!,,
popup.redeem.code,REDEEM CODE,コードを使う,Использовать код,兑换代码,Échanger le code,Code einlösen,코드 사용,,
popup.redeem.inputcode,Input code here,コード入力,Введите ваш код,在这里输入代码,Saisir le code ici,Code hier eingeben,여기에 코드를 입력하세요,,
popup.redeem.cannot.get.gold,"Error, can not get {0} gold",エラー、{0}ゴールドを獲得できません,"Ошибка, не удалось получить {0} золота",错误，不能获得{0}黄金,"Erreur, impossible d'obtenir {0} d'or","Fehler, kann {0} Gold erhalten.",오류입니다. {0}골드를 받을 수 없습니다,,
membership.title,Membership,メンバーシップ,Членство,会员,adhésion,Mitgliedschaft,멤버십,,
membership.remove_ads,Remove ads,広告を削除,УБРАТЬ РЕКЛАМУ,移除广告,Supprimer les annonces,Werbung entfernen,광고 제거,,
membership.note,Total in 7 days,合計7日,Всего за 7 дней,7天总计,Total en 7 jours,Insgesamt in 7 Tagen,총 7일,,
membership.buy.button,{0} per week,週に {0},{0} в неделю,每周{0},{0} par semaine,{0} pro Woche,주당 {0},,
membership.description,"7 days weekly subscription is available on a weekly basis and priced at $2.99 per week. Payment will be charged to the user’s iTunes Account or user's  Google Account upon confirmation of purchase. The subscription will automatically renew every week unless auto-renew is turned off at least 24 hours before the end of the current payment period. If auto-renew remains active during that time, the user’s account will be charged.\nSubscriptions can be managed by the user; auto-renewal can be turned off in the user’s iTunes Account Settings or Google Play Settings after purchase. For more information, please refer to our Terms of Use and Privacy Policy.",週7日間のサブスクリプションは週単位で利用可能で、価格は週2.99ドルです。支払いは、購入の確認時にユーザーのiTunesアカウントに請求されます。サブスクリプションは、現在の支払い期間の終了の少なくとも24時間前に自動更新がオフにされない限り、毎週自動的に更新されます。その時間中に自動更新が\nクティブのままである場合、ユーザーのアカウントに課金されます。\nサブスクリプションはユーザーが管理できます。自動更新は、購入後にユーザーのiTunesアカウント設定でオフにすることができます。\n詳細については、利用規約とプライバシーポリシーをご覧ください。,"Вы можете использовать еженедельную подписку, которая обойдется вам всего в $2.99 за неделю игры. Стоимость подписки будет списана со счета в iTunes в момент покупки. Подписка продлевается автоматически каждую неделю, если вы не отключили продление не менее, чем за 24 часа до окончания текущего оплаченного периода. При активированной функции автоматического продления стоимость подписки будет списана со счета пользователя.\nВы можете использовать раздел ""Настройки учетной записи iTunes"" для управления подписками и отключения режима автоматического продления.\nДля получения более подробной информации изучите наши Условия использования и Политику конфиденциальности.","按周进行的7日周订阅，每周价格为2.99美元。确认购买后，将向用户的iTunes账户收款。订阅将每周自动续订，除非在当前付款期结束前至少24小时关闭自动续订。如果在此期间自动续订仍处于激活状态，则系统会向用户的帐户收费\n订阅可以由用户管理；购买后，可以在用户的​​iTunes帐户设置中关闭自动续订。\n有关更多信息, 請參閱我們的使用條款和隱私權政策","Un abonnement hebdomadaire de 7 jours est disponible sur une base hebdomadaire et au prix de 2,99 $ par semaine. Le paiement sera débité du compte iTunes de l'utilisateur lors de la confirmation de l'achat. L'abonnement sera automatiquement renouvelé chaque semaine, à moins que le renouvellement automatique soit désactivé au moins 24 heures avant la fin de la période de paiement en cours. Si le renouvellement automatique demeure actif pendant cette période, le compte de l'utilisateur sera débité.\nL'abonnement peut être géré par l'utilisateur ; le renouvellement automatique peut être désactivé dans la configuration du compte iTunes de l'utilisateur après l'achat.\nPour plus d'informations, veuillez lire nos conditions générales et notre politique de confidentialité.","Ein 7-tägiges wöchentliches Abonnement ist wöchentlich verfügbar und kostet 2,99 USD pro Woche. Die Zahlung wird vom iTunes-Konto des Benutzers nach Bestätigung des Kaufs abgebucht. Das Abonnement verlängert sich automatisch jede Woche, es sei denn, die automatische Verlängerung wird mindestens 24 Stunden vor dem Ende des aktuellen Zahlungszeitraums deaktiviert. Wenn die automatische Verlängerung während dieser Zeit aktiv bleibt, wird das Konto des Benutzers belastet\nDas Abonnement kann vom Benutzer verwaltet werden. Die automatische Verlängerung kann nach dem Kauf in den iTunes-Kontoeinstellungen des Benutzers deaktiviert werden. \nWeitere Informationen findest du in unseren Allgemeinen Geschäftsbedingungen und Datenschutzbestimmungen.","7일 주간 구독은 주 단위로 이용할 수 있으며 1주일에 $2.99입니다. 구매 확정 시 사용자의 iTunes 계정에서 결제 금액이 부과됩니다. 현재 구독 기간이 끝나기 최소 24시간 전에 자동 갱신 설정을 해제하지 않은 경우 매주 자동으로 구독이 갱신됩니다. 이때 자동 갱신이 활성화된 경우 사용자의 계정에 비용이 부과됩니다
사용자는 구매 후 사용자 iTunes 계정 설정에서 구독을 관리하거나 자동 갱신 기능을 해제하실 수 있습니다.\n자세한 사항은 당사 이용 약관과 개인정보 처리방침을 참조하세요.",,
membership.purchased.button,Subscribed,サブスクライブ終了,Подписка оформлена,已订阅,Abonné,Abonniert,구독 중,,
membership.purchased_successfully_1,You've purchased \nsubscription package,おめでとうございます!!\nサブスクリプションパッケージを購入しました,Вы оформили\nподписку на игру,恭喜！\n您已购买订阅套餐,Félicitations !!\nVous avez acheté un forfait d'abonnement,Herzlichen Glückwunsch!!\nDu hast ein Abonnement-Paket gekauft.,구독 패키지를\n구매하셨습니다,,
membership.purchased_successfully_2,You've purchased\n bundle package,おめでとうございます!!\nバンドルパッケージを購入しました,Вы приобрели\nигровой набор,恭喜！\n您已购买捆绑套餐,Félicitations !!\nVous avez acheté un forfait,Herzlichen Glückwunsch!!\nDu hast ein Bündel-Paket gekauft.,번들 패키지를\n구매하셨습니다,,
screenshot.1,BEAUTIFUL,,КРАСИВО,美丽,BEAU,SCHÖN,아름다워요,,
screenshot.2,SLIDE TO MAKE A LINE,,"ПРОВЕДИТЕ, ЧТОБЫ СОБРАТЬ ПОЛНУЮ ЛИНИЮ",滑动以创造一条线,GLISSER POUR FAIRE UNE LIGNE,SCHIEBE EINE LINIE ZUSAMMEN,슬라이드해서 한 줄을 만드세요,,
screenshot.3,COMPLETE A ROW,,ЗАПОЛНИТЕ РЯД,完成一行,COMPLÉTER UNE LIGNE,SCHLIEßE EINE REIHE AB,한 줄을 완성하세요,,
screenshot.4,UNLEASH THE THUNDERBALL,,ИСПОЛЬЗУЙТЕ СИЛУ МОЛНИИ,释放霹雳球,Déclencher le thunderball,ENTFERNE DIE DONNERKUGEL,썬더볼을 쏘세요,,
screenshot.5,CHALLENGING,,УВЛЕКАТЕЛЬНО,挑战,DÉFI,HERAUSFORDERUNG,쉽지 않아요,,
screenshot.6,HARU TO THE RESCUE!,,ХАРУ ГОТОВ ПОМОЧЬ ВАМ!,哈利去救援,HARU À LA RESCOUSSE!,HARU ZUR RETTUNG!,구조대 하루!,,
screenshot.7,CUTEST CAT THEME EVER!,,САМАЯ МИЛАЯ ИГРА ПРО КОТОВ!,最可爱的猫主题！,Le thème de chat le plus mignon de tous les temps !,NIEDLICHSTES CAT-THEMA ALLER ZEITEN!,가장 귀여운 고양이 테마!,,
screenshot.8,FUN AND EASY,,ВЕСЕЛО И ПРОСТО,有趣又容易,FUN ET FACILE,SPASS UND EINFACH,재미있고 쉬워요,,
membership.1weed,7 days,7日,7 дней,7天,7 jours,7 Tage,7일,,
redeem.code.invalid,Your code is invalid!,あなたのコードは無効です！,Недействительный код,你的代码无效！,Le code est invalide!,Code ist ungültig!,코드가 유효하지 않습니다!,,
redeem.code.error.try.again,"Error, please try again later!",エラーが発生しました。しばらくしてからもう一度お試しください！,"Ошибка! Пожалуйста, попробуйте позднее!",错误，请稍后再试！,"Erreur, veuillez réessayer plus tard!","Fehler, bitte versuchen Sie es später noch einmal!",오류입니다. 나중에 다시 시도하세요!,,
retaintion.claim.button,CLAIM,要求する,ПОЛУЧИТЬ,要求,PRÉTENDRE,BEHAUPTEN,받기,,
retaintion.surprise.gift,SURPRISE GIFT!,サプライズギフト,НЕОЖИДАННЫЙ ПОДАРОК!,惊喜礼物！,CADEAU SURPRISE!,ÜBERRASCHUNGSGESCHENK!,깜짝 선물!,,
daily.subscription.reward,YOU GOT DAILY ITEMS!,あなたは毎日アイテムを手に入れました,ВЫ ПОЛУЧИЛИ НАГРАДУ ДНЯ!,你得到的日常物品！,VOUS AVEZ DES ARTICLES QUOTIDIENS!,SIE HABEN TÄGLICHE EINZELTEILE!,일일 아이템을 받았어요!,,
sync.data.title,PROGRESS SYNC!,進捗同期,СИНХРОНИЗАЦИЯ ХОДА ИГРЫ!,进步同步！,PROGRESS SYNC!,PROGRESS SYNC!,진행 과정을 동기화하세요!,,
sync.data.description,Are you sure you want to\nload your progress from\nthe cloud/local?,クラウド/ローカルから\n進捗をロードして \nもよろしいですか,"Вы уверены, что хотите\nзагрузить ход игры\nиз облака или локального хранилища?",您确定要从云端还是本地端\n加载进度？,Êtes-vous sûr de vouloir \n charger votre progression depuis le \n cloud ou local?,,클라우드/로컬에서\n진행 과정을\n불러오시겠습니까?,,
sync.data.bestscore,Best Score,最高のスコア,Лучший результат,最佳得分,Meilleur score,Bestes Ergebnis,최고 점수,,
sync.data.booster,Booster,ブースター,Бонус,加速器,Booster,Booster,부스터,,
sync.data.confirm,CONFIRM,確認する,ПОДТВЕРДИТЬ,确认,CONFIRMER,BESTÄTIGEN,확인,,
sync.data.which.save,Which save to keep and continue your game,どのセーブを保持してゲームを続けますか？,Какое сохранение оставить и продолжить игру?,保留哪一个存档并继续游戏？,Quelle sauvegarde conserver et continuer votre jeu ?,Welchen Spielstand behalten und das Spiel fortsetzen?,어떤 저장을 유지하고 게임을 계속할까요?,,
sync.data.local.save,Local Save,ローカル保存,Локальное,本地保存,Sauvegarde locale,Lokale Speicherung,로컬 저장본,,
sync.data.cloud.save,Cloud Save,クラウド保存,Облачное,云保存,Cloud Save,Cloud speichern,클라우드 저장본,,
sync.data.load.cloud,Load from Cloud,クラウドからロード,Загрузить из облака,从云加载,Charger depuis le nuage,Laden aus der Cloud,클라우드에서 불러오기,,
sync.data.load.local,Load from Local,ローカルからロード,Загрузить с устройства,从本地加载,Charge de local,Laden von lokal,로컬에서 불러오기,,
pause.hint,Hint,ヒント,намек,暗示,Allusion,Hinweis,힌트,,
main.character_popup.tap_me,Tap me,私に触れ,Прикоснись ко мне,点我,Touchez moi,Hier berühren,나를 탭,,
skip.text,Skip,スキップ,Пропустить,跳跃,Passer,Überspringen,건너 뛰기,,
reward.title,Daily Reward,毎日の報酬,Ежедневная награда,每日奖励,Récompense quotidienne,Tägliche Belohnung,일일 보상,,
higher_level.title,START WITH HIGHER LEVEL?,より高いレベルから始めますか？,НАЧАТЬ С ВЫСШЕГО УРОВНЯ?,从更高级别开始？,COMMENCER AVEC UN NIVEAU SUPÉRIEUR ?,MIT HÖHEREM LEVEL BEGINNEN?,더 높은 레벨로 시작하시겠습니까?,,
character.name.haru,Haru,Haru,Хару,Haru,Haru,Haru,Haru,,
character.name.robinhood,Robinhood,ロビンフッド,Робин Гуд,罗宾汉,Robin des Bois,Robin Hood,로빈 후드,,
character.name.warrior,Warrior,戦士,Воин,战士,Guerrier,Krieger,전사,,
character.name.king,King,キング,Король,国王,Roi,König,왕,,
character.name.magician,Magician,マジシャン,Волшебник,魔法师,Magicien,Magier,마술사,,
character.name.wizard,Wizard,ウィザード,Колдун,巫师,Sorcier,Zauberer,마법사,,
daily.gift.day1,Day 1,1 日目,День 1,第1天,Jour 1,Tag 1,1일,,
daily.gift.day2,Day 2,2 日目,День 2,第2天,Jour 2,Tag 2,2일,,
daily.gift.day3,Day 3,3 日目,День 3,第3天,Jour 3,Tag 3,3일,,
daily.gift.day4,Day 4,4 日目,День 4,第4天,Jour 4,Tag 4,4일,,
daily.gift.day5,Day 5,5 日目,День 5,第5天,Jour 5,Tag 5,5일,,
daily.gift.day6,Day 6,6 日目,День 6,第6天,Jour 6,Tag 6,6일,,
daily.gift.day7,Day 7,7 日目,День 7,第7天,Jour 7,Tag 7,7일 ,,
daily.gift.claim,Claim,請求,Заявка,领取,Réclamation,Erhalten,클레임,,
daily.gift.next_reward_in,Next reward in,次のリワード,Следующая награда через,距离下一奖励,Prochaine récompense dans,Nächste Belohnung in,보상까지 남은 시간:,,
